Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
WestJet,NRT,LAX,14h 46m,1 stop,economy,18:30,17:16,"AED 2,680",2024-07-04
TAP Portugal,PAR,CMN,7h 00m,1 stop,economy,10:20,16:20,AED 725,2024-06-10
LOT,LAX,IST,15h 35m,1 stop,business,22:05,23:40+1,"AED 14,970 ",2024-06-04 
Air Canada,CMN,LAX,20h 40m,1 stop,business,08:50,21:30,"AED 7,928",2024-07-05
Lufthansa,IST,LAX,16h 50m,1 stop,economy,06:10,13:00,"AED 2,268",2024-06-26
Etihad Airways,NRT,CMN,30h 40m,2 stops,economy,09:00,07:40+1,"AED 4,745 ",2024-06-11 
Emirates,CMN,NRT,18h 40m,1 stop,business,14:55,17:35+1,"AED 14,765 ",2024-05-29 
Turkish Airlines,NRT,IST,13h 10m,direct,economy,10:35,17:45,"AED 2,730 ",2024-06-07 
Etihad Airways,IST,NRT,16h 15m,1 stop,economy,14:45,13:00+1,"AED 3,603 ",2024-06-15 
Asiana Airlines,NRT,IST,32h 50m,1 stop,business,13:20,16:10+1,"AED 6,820 ",2024-06-02 
Turkish Airlines,IST,CMN,4h 55m,direct,economy,11:55,14:50,"AED 2,166 ",2024-06-09 
Egypt Air,CMN,IST,10h 15m,1 stop,economy,00:45,13:00,"AED 1,622",2024-06-28
LOT,PAR,NRT,21h 15m,2 stops,business,07:05,11:20+1,"AED 9,697 ",2024-06-13 
TAP Portugal,CMN,PAR,10h 35m,1 stop,business,11:25,23:00,"AED 2,030 ",2024-06-02 
Turkish Airlines,IST,PAR,3h 40m,direct,economy,06:55,09:35,AED 714,2024-07-08
Lufthansa,CMN,LAX,23h 40m,1 stop,business,01:15,16:55,"AED 14,113 ",2024-06-25 
ITA Airways,CMN,NRT,24h 20m,2 stops,economy,12:35,20:55+1,"AED 2,578",2024-07-01
Delta,PAR,LAX,16h 02m,1 stop,business,10:30,17:32,"AED 20,804",2024-07-07
Transavia France,PAR,IST,3h 45m,direct,economy,09:50,14:35,AED 674,2024-06-18
Ryanair,PAR,IST,7h 25m,1 stop,economy,11:35,20:00,AED 404,2024-06-12
Delta,LAX,PAR,10h 40m,direct,business,13:40,09:20+1,"AED 26,468 ",2024-06-10 
Emirates,PAR,NRT,23h 10m,1 stop,economy,11:25,17:35+1,"AED 3,590 ",2024-06-21 
Etihad Airways,NRT,CMN,26h 20m,2 stops,economy,13:20,07:40+1,"AED 4,105 ",2024-06-07 
Lufthansa,IST,LAX,20h 45m,1 stop,economy,06:10,16:55,"AED 2,598 ",2024-05-30 
Emirates,NRT,IST,24h 55m,1 stop,economy,22:30,17:25+1,"AED 2,261 ",2024-06-22 
Royal Air Maroc,PAR,CMN,3h 10m,direct,economy,13:05,15:15,"AED 1,211 ",2024-06-13 
KLM,PAR,IST,5h 50m,1 stop,economy,09:15,16:05,AED 693,2024-06-18
Royal Air Maroc,CMN,NRT,34h 25m,2 stops,business,18:35,13:00+2,"AED 9,785 ",2024-06-19 
KLM,LAX,CMN,17h 00m,2 stops,business,13:50,14:50+1,"AED 15,750 ",2024-06-06 
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,19:15,21:20,"AED 2,908",2024-07-08
Delta,LAX,PAR,13h 05m,1 stop,business,17:40,15:45+1,"AED 26,484 ",2024-06-12 
Multiple Airlines,PAR,LAX,18h 53m,2 stops,business,10:35,20:28,"AED 13,704 ",2024-06-04 
Korean Air,NRT,LAX,16h 20m,1 stop,economy,09:20,09:40,"AED 2,320 ",2024-05-29 
Air Tahiti Nui,LAX,PAR,10h 35m,direct,economy,13:30,09:05+1,"AED 2,253 ",2024-06-09 
Asiana Airlines,NRT,IST,30h 10m,1 stop,business,16:00,16:10+1,"AED 12,050 ",2024-05-30 
Air Algerie,IST,PAR,9h 40m,1 stop,business,09:45,18:25,"AED 3,215",2024-07-01
Norse Atlantic Airways,PAR,LAX,11h 50m,direct,economy,16:15,19:05,"AED 1,625",2024-06-26
Royal Air Maroc,CMN,IST,4h 25m,direct,business,10:15,16:40,"AED 4,849",2024-07-04
Egypt Air,IST,CMN,10h 00m,1 stop,business,04:30,12:30,"AED 3,745 ",2024-06-10 
Air Canada,CMN,LAX,20h 40m,1 stop,business,08:50,21:30,"AED 8,110",2024-07-01
Ajet,PAR,IST,3h 20m,direct,economy,12:35,16:55,"AED 1,362 ",2024-06-21 
Qatar Airways,NRT,IST,19h 40m,1 stop,economy,22:30,12:10+1,"AED 2,950",2024-07-07
LOT,IST,LAX,31h 00m,1 stop,business,17:35,14:35+1,"AED 9,850",2024-07-05
Egypt Air,IST,CMN,14h 00m,1 stop,business,00:30,12:30,"AED 7,453 ",2024-06-12 
Delta,LAX,CMN,19h 15m,2 stops,business,06:00,09:15+1,"AED 15,609 ",2024-06-24 
Singapore Airlines,NRT,LAX,10h 10m,direct,economy,18:40,12:50,"AED 7,180 ",2024-06-10 
LOT,IST,LAX,17h 30m,1 stop,economy,07:05,14:35,"AED 3,203",2024-07-05
